Foto,Type,ID,Fornavn,Efternavn,Studieretning,Password,Username
,Lærer,ajrp,"Mathias ",Petersen,,lol,ajrp476E
,Lærer,jgj,"Mathias ",Jensen,,lol,jgj522n
,Elev,L 3c Carbon 01,"Mathias ",Heydenreich,2018/19 L Matematik A - Kemi A,lol,Adam175g
,Elev,L 3d1 04,"Mathias ",Jacobsen,2018/19 L Matematik A - Programmering B,lol,Alex328x
,Elev,L 3c Carbon 09,"Mathias ",Nielsen,2018/19 L Matematik A - Kemi A,lol,Bert376l
,Elev,L 3a 06,"Mathias ",Nygaard,2018/19 L Matematik A - Fysik A,lol,Ceci464D
,Elev,L 3d1 07,"Mathias ",Petersen,2018/19 L Matematik A - Programmering B,lol,Chris004z
,Elev,L 3b1 06,"Mathias ",Christensen,2018/19 L Bioteknologi A - Matematik A,lol,Elis708V
,Elev,L 3c Carbon 13,"Mathias ",Korneliussen,2018/19 L Matematik A - Kemi A,lol,Emil697p
,Elev,L 3d1 08,"Mathias ",Nørbjerg,2018/19 L Matematik A - Programmering B,lol,Emil104t
,Elev,L 3c Carbon 15,"Mathias ",Jacobsen,2018/19 L Matematik A - Kemi A,lol,Feli029x
,Elev,L 3a 11,"Mathias ",Osmark,2018/19 L Matematik A - Fysik A,lol,Fili823Q
,Elev,L 3b1 10,"Mathias ",Lorentzen,2018/19 L Bioteknologi A - Matematik A,lol,Jess646B
,Elev,L 3d1 11,"Mathias ",Nielsen,2018/19 L Matematik A - Programmering B,lol,Kaja745N
,Elev,L 3d1 13,"Mathias ",Kristensen,2018/19 L Matematik A - Programmering B,lol,Luka767d
,Elev,L 3h 10,"Mathias ",Andersen,2018/19 L Teknologi A - Design B,lol,Mads289s
,Elev,L 3c Carbon 18,"Mathias ",Schrader,2018/19 L Matematik A - Kemi A,lol,Math380j
,Elev,L 3d1 14,"Mathias ",Holmberg,2018/19 L Matematik A - Programmering B,lol,Mike749k
,Elev,L 3d1 15,"Mathias ",Moussa,2018/19 L Matematik A - Programmering B,lol,Moha695m
,Elev,L 3c Carbon 21,"Mathias ",Bülow,2018/19 L Matematik A - Kemi A,lol,Nico603L
,Elev,L 3d1 17,"Mathias ",Johansen,2018/19 L Matematik A - Programmering B,lol,Nika540T
,Elev,L 3ak 20,"Mathias ",Troelsen,2018/19 L Matematik A - Fysik A,lol,Oska660N
,Elev,L 3a 20,"Mathias ",Andersen,2018/19 L Matematik A - Fysik A,lol,Simo994R
,Elev,L 3ak 23,"Mathias ",Skipper,2018/19 L Matematik A - Fysik A,lol,Thor518q
,Elev,L 3ak 24,"Mathias ",Breüner,2018/19 L Matematik A - Fysik A,lol,Tore415H
,Elev,L 3d1 21,"Mathias ",Brandt,2018/19 L Matematik A - Programmering B,lol,Vald435P
,Elev,L 3c Carbon 28,"Mathias ",Lund,2018/19 L Matematik A - Kemi A,lol,Vill567T
